Dates,Hydrologicalparameters,Rainfall_mm,temp_min_deg C,temp_max_deg C,Evapotranspiration_mm,Date_weekly,Current_year_storage_BCM_bht,Current_year_storage_BCM_Nir,Current_year_storage_BCM_Total,Date_monthly,Surface_Soil _Moisture_mm_10cm_FLDAS,Root_zone_soil_moisture_mm_FLDAS,Total_Runoff_mm_FLDAS,,,Date_8,Evapotranspiration_ Eta_mm_MODIS_MOD16A2
02-12-2020,,0,19.842,31.4665,14.22,,,,0,,,,,,,,
03-12-2020,,0,18.0503,31.5963,14.22,,,,0,,,,,,,,
04-12-2020,,0,17.1848,31.5013,14.22,,,,0,,,,,,,,
05-12-2020,,0,17.1816,31.9498,14.22,,,,0,,,,,,,,
06-12-2020,,0,16.8731,31.2965,14.22,,,,0,,,,,,,,
07-12-2020,,0,16.8863,32.1756,14.22,,,,0,,,,,,,,
08-12-2020,,0,17.462,31.7403,14.22,,,,0,,,,,,,,
09-12-2020,,0,19.4312,31.5934,14.22,,,,0,,,,,,,,
10-12-2020,,0,21.0469,31.6107,13.62,,,,0,,,,,,,,
11-12-2020,,8.84,21.2868,29.1887,13.62,,,,0,,,,,,,,
12-12-2020,,0,20.7338,29.0867,13.62,,,,0,,,,,,,,
13-12-2020,,4.86,20.444,28.7007,13.62,,,,0,,,,,,,,
14-12-2020,,0.35,20.4208,27.5589,13.62,,,,0,,,,,,,,
15-12-2020,,0,19.6353,29.8919,13.62,,,,0,,,,,,,,
16-12-2020,,0,18.9211,29.9032,13.62,,,,0,,,,,,,,
17-12-2020,,0,19.0406,30.476,13.62,,,,0,,,,,,,,
18-12-2020,,0,18.2923,30.3939,11.33,,,,0,,,,,,,,
19-12-2020,,0,18.2632,29.9477,11.33,,,,0,,,,,,,,
20-12-2020,,0,16.975,29.6052,11.33,,,,0,,,,,,,,
21-12-2020,,0,15.1016,29.7147,11.33,,,,0,,,,,,,,
22-12-2020,,0,14.2231,29.3497,11.33,,,,0,,,,,,,,
23-12-2020,,0,14.2123,29.6804,11.33,,,,0,,,,,,,,
24-12-2020,,0,15.3143,29.812,11.33,,,,0,,,,,,,,
25-12-2020,,0,17.1579,30.5582,11.33,,,,0,,,,,,,,
26-12-2020,,0,17.5617,31.0892,9.13,,,,0,,,,,,,,
27-12-2020,,0,18.161,30.7551,9.13,,,,0,,,,,,,,
28-12-2020,,0,17.4947,29.6802,9.13,,,,0,,,,,,,,
29-12-2020,,0,15.6575,28.9037,9.13,,,,0,,,,,,,,
30-12-2020,,0,16.5456,29.3093,9.13,,,,0,,,,,,,,
31-12-2020,,0,17.391,30.1336,9.13,,,,0,,,,,,,,
